name_1,name_2,street_1,street_2,city,zip,phone,website,latitude,longitude,flag_saf,flag_mhf,flag_mc,flag_md,flag_np_ss,flag_pi,flag_gl,flag_vet,flag_pw,flag_hv,flag_dv,flag_chld,flag_yad,flag_adlt,flag_snr,flag_si,filter_military,filter_inpatient_svc,filter_residential_pgm
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah Family Services Center,4111 18th Avenue,,BROOKLYN,11218,718-875-6900,http://www.pesachtikvah.org/,40.6318023298,-73.9749067303999,,1,,1,,1,,,,,,,,1,,,,,
"Postgraduate Center for Mental Health, Inc.",Center for Adult Psychotherapy,71 West 23rd Street,,NEW YORK,10010,212-576-4104,http://www.pgcmh.org/,40.7424409706,-73.9916673976999,,1,1,1,,1,,,,,,1,1,1,,,,,
"Postgraduate Center for Mental Health, Inc.",PCMH Brooklyn ACT,164 20th Street,,BROOKLYN,11232,718-431-8725,http://www.pgcmh.org/,40.6636087946999,-73.9956962455,,1,,1,,,,,,,,1,1,1,,,,,
Jamaica Hospital Medical Center CPEP,Jamaica Hospital Medical Center CPEP,8900 Van Wyck Expressway,,QUEENS,11418,718-206-7099,http://jamaicahospital.org/,40.7011533083,-73.8161830389999,,1,1,1,,1,,,,,,,,1,,,,,
Jamaica Hospital Mental Health Clinic,Jamaica Hospital Mental Health Clinic,90-09 Van Wyck Expressway,,QUEENS,11435,718-206-5575,http://jamaicahospital.org/,40.7005201821,-73.8150415278999,,1,1,1,,1,,,,,,1,1,1,1,,,,
Bronx Counseling (Resource) Center Clinic,Bronx Studio School for Writers and Artists,928 Simpson Street,,BRONX,10459,718-881-7600,,40.8205782559,-73.8931278274999,,1,1,1,,1,,,,,,,1,,,,,,
Bronx Counseling (Resource) Center Clinic,Child and Family Clinic Plus at Evander,800 East Gun Hill Road,,BRONX,10467,718-881-7600,,40.8759525936999,-73.8619701572,,1,1,1,,1,,,,,,1,1,1,,,,,
Brooklyn Counseling (Resource) Center Clinic,Maimonides Geriatric Integrated Care at 57th Street,1250 57th Street,,BROOKLYN,11219,718-998-3235,,40.6311957053,-73.9978707843,,1,1,1,,1,,,,,,,,1,,,,,
"Staten Island Mental Health Society, Inc.",Day Treatment South,6581 Hylan Boulevard,,STATEN ISLAND,10309,718-984-4589,https://simhs.org/,40.5087701339,-74.2226190976,,1,1,1,,1,,,,,,,1,,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,11 Clove Lake Place,,STATEN ISLAND,10310,718-442-2225,https://simhs.org/,40.6281690794,-74.1169971127999,,1,1,1,,1,,,,,,1,1,1,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,101 Warren Street,,STATEN ISLAND,10304,718-442-2225,https://simhs.org/,40.6203467711999,-74.0816427022,,1,1,1,,1,,,,,,1,1,1,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,100 Tompkins Avenue,,STATEN ISLAND,10305,718-442-2225,https://simhs.org/,40.6224542108,-74.0785077083999,,1,1,1,,1,,,,,,1,1,1,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,80 Monroe Avenue,,STATEN ISLAND,10301,718-442-2225,https://simhs.org/,40.6396992908,-74.0791405406999,,1,1,1,,1,,,,,,1,1,1,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,80 Maple Parkway,,STATEN ISLAND,10303,718-442-2225,https://simhs.org/,40.6317892208,-74.156439383,,1,1,1,,1,,,,,,1,1,1,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,140 Palma Drive,,STATEN ISLAND,10304,718-442-2225,https://simhs.org/,40.611507434,-74.0831770094,,1,1,1,,1,,,,,,1,1,1,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - Flushing Clinic,147-26 25th Drive,,QUEENS,11354,718-358-8288,http://childcenterny.org/index.php,40.7752530578,-73.8193471274999,,,,1,,1,,,,,,1,,,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - Flushing Clinic,154-60 17th Avenue,,QUEENS,11357,718-358-8288,http://childcenterny.org/index.php,40.7836498189,-73.8078377830999,,,,1,,1,,,,,,1,,,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - South Jamaica Clinic,1600 Central Avenue,,QUEENS,11691,718-659-4000,http://childcenterny.org/index.php,40.6051819253,-73.7519616623,,,,1,,1,,,,,,1,,,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - Woodside Clinic,28-37 29th Street,,QUEENS,11102,718-458-4243,http://childcenterny.org/index.php,40.7689842939999,-73.9224278875,,,,1,,1,,,,,,1,,,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - Woodside Clinic,14-14 29th Avenue,,QUEENS,11103,718-458-4243,http://childcenterny.org/index.php,40.7713353374999,-73.9290861827,,,,1,,1,,,,,,1,,,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - Woodside Clinic,60-02 Roosevelt Avenue,,QUEENS,11377,718-458-4243,http://childcenterny.org/index.php,40.7454865906,-73.9042735281,,,,1,,1,,,,,,1,,,,,,,
The Family Center,Irene LeeKong Health and Wellness Institute at TFC,493 Nostrand Avenue,,BROOKLYN,11216,718-230-1379,http://www.thefamilycenter.org/,40.6805550559,-73.9495856829999,,1,,1,,1,,,,,,1,1,,,,,,
"The Floating Hospital, Inc.",Floating Hospital Clinic,10-29 41st Avenue,,QUEENS,11101,718-784-2240,http://www.thefloatinghospital.org/,40.7554493450999,-73.9452481871,1,1,1,1,,1,,,,,1,,,1,,,,,
"The Floating Hospital, Inc.",,"41-40 27th Street, LIC",,QUEENS,11101,,http://www.thefloatinghospital.org/,40.7512960548,-73.9388235623,1,1,,,,1,,,,,1,,,1,,,,,
"Bleuler Psychotherapy Center, Inc.",Bleuler Psychotherapy Center,104-70 Queens Boulevard,,QUEENS,11375,718-275-6010,http://www.bleulerpsychotherapycenter.org/,40.7233695884999,-73.8482954387,,1,1,1,,1,,,,,,1,1,1,1,,,,
"Eating Disorder Treatment of New York, LLC",Eating Disorder Treatment of New York,117 West 72nd Street,,NEW YORK,10023,888-228-1253,http://www.montenido.com/facilities/eating_disorder_treatment_of_new_york,40.7777341135,-73.979538378,1,1,,,,1,,,,,,,1,1,,,,,
"Federation of Org. f/t NYS Ment.Disabled, Inc",Federation of Organizations ACT Program,105-01 101st Avenue,,QUEENS,11416,718-850-7099,,40.6865427565,-73.8380271718999,1,1,,1,,,,,,,,,,,,,,,
"Federation of Org. f/t NYS Ment.Disabled, Inc",Federation of Organizations Brooklyn Manor Adult Home I Clin,2830 Pitkin Avenue,,BROOKLYN,11208,718-235-0900,,40.6760024692,-73.8678205721,1,1,,,,,,,,,,,,1,,,,,
Jewish Child Care Association of New York,Children's Services Expansion,858 East 29th Street,,BROOKLYN,11210,917-808-4800,,40.6298557068,-73.9484855402999,,1,,1,,,,,,,,1,1,1,,,,,
"Lenox Hill Neighborhood House, Inc.",Peer Advocacy,643 Park Avenue,3rd Floor,NEW YORK,10065,212-218-0515,http://www.lenoxhill.org/,40.7674904252,-73.9664476675999,,1,,,1,,,,,,,,,1,,,,,
"National Alliance for the Mentally Ill of New York City, Inc.",Advocacy Services,505 Eighth Avenue,Suite 1103,NEW YORK,10018,212-684-3365,http://www.naminycmetro.org/,40.7530467584999,-73.9928499292999,,1,,,1,,,,,,,,,1,,,,,
"NYSARC, Inc. New York City Chapter",Job Connection Center,57 Willoughby Street,4th Floor,BROOKLYN,11201,718-246-1507,http://www.nysarc.org/,40.6922168807,-73.9866648972,,1,,1,,,,,,,,,,1,1,,,,
Saint Dominic's Home,Blended Case Management (Children's),2341 Dr Martin Luther King Jr Blvd,,BRONX,10468,718-584-4407,http://www.stdominicshome.org/,40.8614418339,-73.9061275259,,1,,,1,,,,,,,1,,,,,,,
"Sky Light Center, Inc.",Assisted Competitive Employment,307 St. Mark's Place,,STATEN ISLAND,10301,718-720-2585,http://www.skylightcenter.org/,40.6424802216999,-74.0784664102999,,1,,,1,,,,,,,,,1,,,,,
"Urban Pathways, Inc.",Assisted Competitive Employment,575 Eighth Avenue,,NEW YORK,10018,212-736-7385,http://www.urbanpathways.org/,40.7549515182,-73.9914673142999,,,,,1,,,,,,,,,1,,,,,
"Venture House, Inc.","Venture House, Inc.",150-10 Hillside Avenue,,QUEENS,11432,718-658-7201,http://www.venturehouse.org/,40.7067171595999,-73.8062633585,,1,,,,,,,,,,,,1,1,,,,
Visiting Nurse Service of New York,Visiting Nurse Bronx ACT Program,349 E. 149th Street,,BRONX,10451,718-742-5155,http://www.vnsny.org/,40.8166695637,-73.9199589703,,1,,1,,,,,,,,1,1,,,,,,
Visiting Nurse Service of New York,VNS Children and Adolescent MH Clinic at FRIENDS,470 Jackson Avenue,Room 117,BRONX,10455,718-742-7000,http://www.vnsny.org/,40.8111616432999,-73.9098036958999,,1,,1,,1,,,,,,1,1,,,,,,
"Advanced Center for Psychotherapy, Inc.",Advanced Center for Psychotherapy Forest Hills,103-26 68th Road,,QUEENS,11375,718-261-3330,http://jamaicahospital.org/index.php/clinical-services/psychiatry/advanced-center-of-psychotherapy/,40.7253089279999,-73.8494671755999,1,1,1,1,,1,,,,,,1,1,1,1,,,,
"ACMH, Inc.",Health Home Care Coordination for People with Mental Illness - Manhattan (Adult),545 8th Avenue,9th Floor,NEW YORK,10018,212-543-0592,http://www.acmhnyc.org/,40.7542681119999,-73.9919618881999,1,1,,,1,,,,,,,,,1,,,,,
"Baltic Street AEH, Inc.",Geriatric Peer Advocacy,681 Clarkson Avenue,Building 25,BROOKLYN,11203,718-774-1072,http://www.balticstreet.org/,40.6561838969999,-73.9378007251,,1,,,1,,,,,,,,,,1,,,,
"Baltic Street AEH, Inc.",NetWORKPlus I,25 Flatbush Avenue,2nd Floor,BROOKLYN,11217,718-377-8567,http://www.balticstreet.org/,40.6879588238,-73.9802690581,,1,,,1,,,,,,,,,1,,,,,
"Baltic Street AEH, Inc.",NetWORKPlus West,1083 McDonald Avenue,,BROOKLYN,11230,718-377-8567,http://www.balticstreet.org/,40.6268537925,-73.9764072308,,1,,,1,,,,,,,,,1,1,,,,
Berkshire Farm Center and Services for Youth,MICA Network,4419 3rd Avenue,# 3C,NEW YORK,10467,718-220-4247,http://www.berkshirefarm.org/,40.8518459320999,-73.8930305971999,1,1,,,1,,,,,,,,1,,,,,,
"Bowery Residents' Committee, Inc.",Health Home Care Coordination for People with Mental Illness - Manhattan (Adult),80 Centre Street Room,200B,NEW YORK,10013,917-749-1737,,40.7154465835999,-74.0018902188,,1,,,,,,,,,,,,1,,,,,
"Center for Urban Community Services, Inc.",Assertive Community Treatment,665 Pelham Pkwy,North Suite 402,BRONX,10467,718-519-8326,http://www.cucs.org/,40.8577608722999,-73.8691620184,,1,,,1,,,,,,,,,1,1,,,,
"Center for Urban Community Services, Inc.",Assisted Competitive Employment,14 East 28th Street,,NEW YORK,10016,212-471-0792,http://www.cucs.org/,40.7442904291999,-73.9863874195,,1,,,1,,,,,,,,,1,1,,,,
"Center for Urban Community Services, Inc.",Outreach - PPOH,198 East 121st Street,,NEW YORK,10035,,http://www.cucs.org/,40.8011921095,-73.9378313789,,1,,,1,,,,,,,,,1,1,,,,
"Community Association of Progressive Dominicans, Inc.",Audubon Ballroom Youth,513 West 207th Street,,NEW YORK,10034,212-568-4872,http://www.acdp.org/,40.8650365126,-73.9194958305999,,1,,,,,,,,,,1,1,,,,,,
"EAC, Inc.",Court based Intervention and Resource Teams (CIRT) - Bronx,1020 Grand Concourse,,BRONX,10451,718-538-7416,http://www.eacinc.org/,40.8279615475,-73.9202669784999,1,,,,,,,,,,,,,1,,,,,
"EAC, Inc.",Court Based Intervention and Resource Teams (CIRT) - Staten Island,120 Stuyvesant Place,Suite 410,STATEN ISLAND,10301,718-727-9722,http://www.eacinc.org/,40.6429917741999,-74.0769535956,1,,,,,,,,,,,,,1,,,,,
"Fedcap Rehabilitation Services, Inc.",The Chelton Loft,104-106 East 126th Street,Suite 4D,NEW YORK,10035,212-727-4361,,40.8055179241,-73.9380657418,1,1,,1,,,,,,,,,,1,,,,,
"Fountain House, Inc.",Fountain House Independent Employment Program,425 West 47th Street,,NEW YORK,10036,212-582-0340,http://www.fountainhouse.org/,40.7620000030999,-73.9912209442999,,1,,,1,,,,,,,,1,1,,,,,
"Fountain House, Inc.",Fountain House Bronx Psychosocial Clubhouse,564 Walton Avenue,,BRONX,10451,,http://www.fountainhouse.org/,40.8193592745,-73.9281173257,,1,,,1,,,,,,,,,1,,,,,
Fund for the City of New York,Court Based Intervention and Resource Teams (CIRT) - Brooklyn,120 Schermerhorn Street,,BROOKLYN,11201,347-401-9076,,40.6900734552,-73.9889226287999,,1,,,1,,,,,,,,,1,,,,,
Goddard-Riverside Community Center,Homeless Assertive Community Treatment,965 Columbus Avenue,,NEW YORK,10025,212-531-2727,http://www.goddard.org/,40.8001514426999,-73.9621908600999,,1,,1,,,,,,,,,,1,,,,,
Goddard-Riverside Community Center,TOP Opportunities,577 Columbus Avenue,,NEW YORK,10024,646-505-1088,http://www.goddard.org/,40.7876490851,-73.9713126287,,1,,,1,,,,,,,,,1,,,,,
AIDS Center of Queens County,Harm Reduction Program,161-21 Jamaica Avenue,,QUEENS,11432,917-670-5687,http://acqc.org/,40.70424899,-73.7979210416,1,1,,1,,,,,,1,,,1,1,,,,,
After Hours Project,Harm Reduction Program,1204 Broadway,,BROOKLYN,11221,718-249-0755,http://www.afterhoursproject.org/,40.69210645,-73.9266570478,1,1,,,,,1,1,1,1,1,,1,1,1,,1,,
Community Health Action of Staten Island,Harm Reduction Program,56 Bay Street,,STATEN ISLAND,10301,718-808-1300,http://chasiny.org/,40.64062385,,,1,,1,,,1,,,1,1,,,1,1,,,,
BOOM!Health,Harm Reduction Program,226 East 144th Street,,BRONX,10451,718-295-BOOM,http://www.boomhealth.org/,40.8157893870999,,1,1,,1,1,,,,,1,,,1,1,1,,,,
Family Services Network of New York,Harm Reduction Program,1420 Bushwick Ave,,BROOKLYN,11207,718-455-6010Â ,http://fsnny1.org/,40.6843179477999,-73.9090558369999,,1,,1,,,,,,1,,,1,1,,,,,
FROST'D at Harlem United,Harm Reduction Program,306 Lenox Avenue,,NEW YORK,10027,212-924-3733,http://frostd.org/MainPage.html,40.8080467177,-73.9452735539999,,1,,,,,,,,1,,,1,1,,,,,
Housing Works,Harm Reduction Program,130 Crosby St,,NEW YORK,10012,212-966-0466,http://www.housingworks.org/heal/behavioral-health/harm-reduction-center/,40.7247402922,-73.9962478974999,1,1,1,1,,1,1,,1,1,1,,1,1,,,1,,
Lower East Side Harm Reduction Center,Harm Reduction Program,25 Allen Street,,NEW YORK,10002,212-226-6333,,40.7155396608999,-73.9922623567999,1,1,,,1,,1,,,1,,,1,1,1,,,,
Child Mind Institute,,445 Park Avenue,,New York,10022,212-308-3118,http://www.childmind.org,40.761092,-73.970642,,,,,,,,,,,,1,1,,,,1,,
New York Harm Reduction Educators,Harm Reduction Program,155 E 149th Street,2nd Floor,BRONX,10451,718-842-6050,http://www.nyhre.org/,40.8186700929,-73.9277062012999,1,1,,,1,,1,1,1,1,1,,1,1,1,,1,,
Positive Health Project,Harm Reduction Program,301 W 37 Street,,NEW YORK,10011,212-465-8304,http://www.housingworks.org/heal/,40.7542791273,-73.9924996861,1,1,,,1,,1,,,1,,,1,1,1,,1,,
St. Ann's Corner of Harm Reduction,Harm Reduction Program,886 Westchester Ave,,BRONX,10459,718-585-5544,http://www.sachr.org/,40.8207733313,-73.8994538768999,1,1,,,1,,,,,,,,1,1,,,,,
Streetwork Project at Safe Horizon,Harm Reduction Program,33 Essex St,,NEW YORK,10002,646-602-6404,http://www.safehorizon.org/page/contact-us-42.html,40.7159319494,-73.989571255,1,1,,,1,,1,,,,,,1,,,,,,
VOCAL - NY,Harm Reduction Program,80-A Fourth Ave,,BROOKLYN,11217,718-802-9540,http://www.vocal-ny.org/,40.6821014148,-73.9798850044,1,,1,,,,,,,1,,,1,1,,,,,
Washington Heights Corner Project,Harm Reduction Program,566 West 181st Street,,NEW YORK,10033,212-923-7600,,40.8490270981,-73.9330552477999,1,1,1,1,1,,1,,,1,,,1,1,1,,,,
